Length (um),Active Force (N/cm^2)
numeric,numeric
8.473524041,69.49296087
8.473524041,66.50667516
8.674781903,64.89867516
8.951511463,71.10096087
9.278555488,64.66896087
9.303712721,72.47924659
9.454656117,70.41181802
9.756542909,76.84381802
9.756542909,73.39810373
9.982958004,73.62781802
10.10874417,80.74896087
10.38547373,79.37067516
10.58673159,79.14096087
10.66220329,80.97867516
10.78798945,79.37067516
11.26597687,81.43810373
11.2911341,80.2895323
11.46723473,80.97867516
11.54270643,79.60038944
12.02069385,74.31696087
12.14648002,72.2495323
12.27226618,71.56038944
12.72509637,70.41181802
12.72509637,62.37181802
12.80056807,66.04724659
12.85088253,64.43924659
13.32886995,61.45296087
13.50497058,52.49410373
13.70622844,52.9535323
14.18421587,43.76496087
14.2093731,33.42781802
14.48610266,35.03581802
14.76283222,23.32038944
14.81314668,12.52381802
14.88861838,20.56381802
15.16534794,30.67124659
15.34144857,15.51010373
15.64333536,10.68610373
15.81943599,17.11810373
16.07100832,7.240389445
16.09616555,11.60496087
16.77541083,4.483818016
