Length (um),Active Force (N/cm**2),Active Force (%T0),Characteristic Constants,
3.632656695,1.803183919,0.0706964604,T0 (N/cm2),25.506
3.60752849,1.4388124905,0.0564107461,L0 (um),
3.568041311,1.8942767761,0.074267889,Thick filament (um),
3.532143875,3.4428553479,0.1349821747,Thin filament (um),
3.514195157,2.8052053479,0.1099821747,Bare zone (um),
3.474707977,3.35176249,0.1314107461,Z disc (um),
3.323938746,6.9954767768,0.274267889,,
3.302400285,6.4489196322,0.2528393175,,
3.288041311,7.542033919,0.2956964604,,
3.122913105,10.2748196322,0.4028393175,,
3.0977849,10.4570053479,0.4099821747,,
3.08701567,10.5480982058,0.4135536033,,
2.921887464,15.3760196322,0.6028393175,,
2.896759259,15.1027410611,0.5921250318,,
2.889579772,14.7383696322,0.5778393175,,
2.699323362,19.019733919,0.7456964604,,
2.699323362,18.382083919,0.7206964604,,
2.699323362,18.01771249,0.7064107461,,
2.631118234,20.1128482058,0.7885536033,,
2.595220798,20.932683919,0.8206964604,,
2.440861823,23.3921910611,0.9171250318,,
2.318810541,24.758583919,0.9706964604,,
2.281251727,24.7313880291,0.9696302058,,
2.231348439,25.1951334841,0.987812024,,
2.200349003,25.3051410611,0.9921250318,,
2.181445151,25.5216102841,1.000612024,,
2.132122133,25.4993505016,0.9997392967,,
2.094382022,25.4085355928,0.9961787655,,
2.081638574,25.4696707916,0.9985756603,,
2.078297721,25.396233919,0.9956964604,,
2.063820225,25.4085355928,0.9961787655,,
2.033258427,25.1030745151,0.9842027176,,
2.031155015,25.1394840291,0.9856302058,,
2.024269663,25.3474433768,0.9937835559,,
1.982921348,24.7976134374,0.9722266697,,
1.981251727,24.7573577741,0.9706483876,,
1.943370787,24.6754290053,0.9674362505,,
1.900224719,24.1866912793,0.9482745738,,
1.867865169,24.1866912793,0.9482745738,,
1.866067416,24.6754290053,0.9674362505,,
1.855280899,23.3314002622,0.9147416397,,
1.853483146,23.6368613399,0.9267176876,,
1.851685393,24.1255990658,0.9458793643,,
1.792359551,23.2092158326,0.9099512206,,
1.724044944,23.1481236166,0.907556011,,
1.724044944,22.5982936746,0.8859991247,,
1.720449438,21.7430026574,0.8524661906,,
1.711460674,21.132080502,0.8285140948,,
1.684494382,20.9488038563,0.8213284661,,
1.652134831,19.849143975,0.7782146936,,
1.619775281,17.9552852925,0.7039631966,,
1.583820225,17.6498242147,0.6919871487,,
1.583820225,16.5501643334,0.6488733762,,
1.582022472,18.1385619381,0.7111488253,,
1.549662921,13.8010146337,0.5410889451,,
1.549662921,13.4344613399,0.5267176876,,
1.51011236,13.0068158326,0.5099512206,,
1.45258427,11.4795104414,0.450070981,,
1.45258427,10.929680502,0.4285140948,,
1.443595506,8.8525451739,0.3470769691,,
1.378876404,2.6822314005,0.1051608014,,
1.378876404,2.315678107,0.0907895439,,
1.319550562,5.0037355928,0.1961787655,,
1.319550562,4.576090083,0.1794122984,,
